genre,month_year,score
Experimental,2007-07,7.333333333333333
Experimental,2007-08,6.9375
Experimental,2007-09,7.749999999999999
Experimental,2007-10,7.359090909090909
Experimental,2007-11,6.82
Experimental,2007-12,8.266666666666667
Experimental,2008-01,7.511904761904762
Experimental,2008-02,7.5874999999999995
Experimental,2008-03,7.609999999999999
Experimental,2008-04,6.859999999999999
Experimental,2008-05,6.7562500000000005
Experimental,2008-06,7.2
Experimental,2008-07,6.98125
Experimental,2008-08,7.012499999999999
Experimental,2008-09,7.275000000000001
Experimental,2008-10,7.718333333333334
Experimental,2008-11,7.486666666666667
Experimental,2008-12,7.8500000000000005
Experimental,2009-01,7.172222222222222
Experimental,2009-02,6.309090909090909
Experimental,2009-03,6.9625
Experimental,2009-04,7.028571428571429
Experimental,2009-05,7.083333333333333
Experimental,2009-06,7.041666666666667
Experimental,2009-07,6.533333333333334
Experimental,2009-08,7.154545454545453
Experimental,2009-09,7.883333333333333
Experimental,2009-10,7.108333333333333
Experimental,2009-11,7.443749999999999
Experimental,2009-12,6.550000000000001
Experimental,2010-01,7.455555555555555
Experimental,2010-02,6.671428571428571
Experimental,2010-03,7.4399999999999995
Experimental,2010-04,6.9312499999999995
Experimental,2010-05,6.971428571428571
Experimental,2010-06,7.6499999999999995
Experimental,2010-07,7.35909090909091
Experimental,2010-08,7.014285714285714
Experimental,2010-09,6.987500000000001
Experimental,2010-10,6.885
Experimental,2010-11,7.155555555555556
Experimental,2010-12,7.6000000000000005
Experimental,2011-01,6.868750000000001
Experimental,2011-02,6.8625
Experimental,2011-03,7.2142857142857135
Experimental,2011-04,7.523809523809524
Experimental,2011-05,7.3050000000000015
Experimental,2011-06,7.127777777777777
Experimental,2011-07,7.455555555555555
Experimental,2011-08,7.45
Experimental,2011-09,7.168181818181819
Experimental,2011-10,7.1571428571428575
Experimental,2011-11,7.075
Experimental,2011-12,7.2375
Experimental,2012-01,7.199999999999999
Experimental,2012-02,7.05625
Experimental,2012-03,7.033333333333334
Experimental,2012-04,7.235000000000001
Experimental,2012-05,7.5
Experimental,2012-06,7.266666666666666
Experimental,2012-07,7.3999999999999995
Experimental,2012-08,7.533333333333332
Experimental,2012-09,7.1499999999999995
Experimental,2012-10,7.075000000000001
Experimental,2012-11,7.26111111111111
Experimental,2012-12,6.833333333333333
Experimental,2013-01,6.133333333333334
Experimental,2013-02,7.255
Experimental,2013-03,7.2749999999999995
Experimental,2013-04,7.2700000000000005
Experimental,2013-05,7.290000000000001
Experimental,2013-06,7.0
Experimental,2013-07,7.058333333333334
Experimental,2013-08,7.278571428571429
Experimental,2013-09,7.144444444444444
Experimental,2013-10,7.142857142857143
Experimental,2013-11,7.487500000000001
Experimental,2013-12,7.066666666666666
Experimental,2014-01,7.55
Experimental,2014-02,7.233333333333333
Experimental,2014-03,6.750000000000001
Experimental,2014-04,7.283333333333332
Experimental,2014-05,7.371428571428572
Experimental,2014-06,7.43148148148148
Experimental,2014-07,7.175000000000001
Experimental,2014-08,6.949999999999999
Experimental,2014-09,7.5200000000000005
Experimental,2014-10,7.821428571428571
Experimental,2014-11,7.55
Experimental,2014-12,6.45
Experimental,2015-01,6.949999999999999
