genre,score,pub_date,name,title,year
Electronic,7.2,2015-06-19 06:00:01,Nils Frahm,Victoria OST,2015
Electronic,6.7,2020-12-04 06:00:00,Nils Frahm,Tripping With Nils Frahm,2020
Electronic,6.3,2016-07-08 05:00:00,Nils Frahm,Ellis,2016
Pop_and_RnB,6.3,2016-07-08 05:00:00,Nils Frahm,Ellis,2016
Electronic,6.3,2016-07-08 05:00:00,Woodkid,Ellis,2016
Pop_and_RnB,6.3,2016-07-08 05:00:00,Woodkid,Ellis,2016
Electronic,4.8,2010-05-12 06:00:04,Nils Frahm,The Bells,2010
Rock,5.8,2008-12-01 06:00:00,Guns N’ Roses,Chinese Democracy,2008
Experimental,6.5,2013-07-19 06:00:02,David Yow,Tonight You Look Like a Spider,2013
Rock,6.5,2013-07-19 06:00:02,David Yow,Tonight You Look Like a Spider,2013
Electronic,7.6,2018-01-06 06:00:00,Emily A. Sprague,Water Memory,2018
Electronic,7.6,2020-11-19 06:00:00,Emily A. Sprague,"Hill, Flower, Fog",2020
Electronic,7.9,2016-11-02 05:00:00,Kassem Mosse,Disclosure,2016
Folk_and_Country,6.2,2013-03-14 06:00:03,October Falls,The Plague of a Coming Age,2013
Metal,6.2,2013-03-14 06:00:03,October Falls,The Plague of a Coming Age,2013
Electronic,3.8,2004-06-17 05:00:03,Vladislav Delay,Demo(n) Tracks,2004
Electronic,7.8,2021-04-20 04:00:00,Vladislav Delay,Rakka II,2021
Electronic,6.2,2009-08-26 06:00:03,Vladislav Delay,Tummaa,2009
Electronic,8.0,2020-03-04 06:00:00,Vladislav Delay,Rakka,2020
Electronic,7.1,2007-05-16 06:00:05,Vladislav Delay,Whistleblower,2007
Electronic,6.8,2012-01-04 06:00:04,Vladislav Delay,Vantaa,2012
Electronic,6.6,2020-08-31 05:00:00,Vladislav Delay,500-Push-Up,2020
Global,6.6,2020-08-31 05:00:00,Vladislav Delay,500-Push-Up,2020
Electronic,6.6,2020-08-31 05:00:00,Sly Dunbar,500-Push-Up,2020
Global,6.6,2020-08-31 05:00:00,Sly Dunbar,500-Push-Up,2020
Electronic,6.6,2020-08-31 05:00:00,Robbie Shakespeare,500-Push-Up,2020
Global,6.6,2020-08-31 05:00:00,Robbie Shakespeare,500-Push-Up,2020
Pop_and_RnB,6.0,2012-08-03 06:00:04,Bonde Do Rolê,Tropicalbacanal,2012
Pop_and_RnB,7.3,2007-12-05 06:00:02,Bonde Do Rolê,Marina Gasolina EP,2007
Pop_and_RnB,6.5,2007-06-06 06:00:01,Bonde Do Rolê,With Lasers,2007
Electronic,8.0,2013-03-15 06:00:00,Clinic,Free Reign II,2013
Experimental,8.0,2013-03-15 06:00:00,Clinic,Free Reign II,2013
Rock,8.0,2013-03-15 06:00:00,Clinic,Free Reign II,2013
Electronic,8.0,1999-03-01 06:01:40,Clinic,Clinic,1999
Experimental,8.0,1999-03-01 06:01:40,Clinic,Clinic,1999
Rock,8.0,1999-03-01 06:01:40,Clinic,Clinic,1999
Electronic,7.2,2002-02-25 06:00:00,Clinic,Walking with Thee,2002
Experimental,7.2,2002-02-25 06:00:00,Clinic,Walking with Thee,2002
Rock,7.2,2002-02-25 06:00:00,Clinic,Walking with Thee,2002
Electronic,6.9,2004-08-22 06:00:01,Clinic,Winchester Cathedral,2004
Experimental,6.9,2004-08-22 06:00:01,Clinic,Winchester Cathedral,2004
Rock,6.9,2004-08-22 06:00:01,Clinic,Winchester Cathedral,2004
Electronic,9.3,2000-05-02 05:00:02,Clinic,Internal Wrangler,2000
Experimental,9.3,2000-05-02 05:00:02,Clinic,Internal Wrangler,2000
Rock,9.3,2000-05-02 05:00:02,Clinic,Internal Wrangler,2000
Electronic,6.1,2007-06-06 06:00:02,Clinic,Funf,2007
Experimental,6.1,2007-06-06 06:00:02,Clinic,Funf,2007
Rock,6.1,2007-06-06 06:00:02,Clinic,Funf,2007
Electronic,7.7,2008-04-07 06:00:02,Clinic,Do It!,2008
Experimental,7.7,2008-04-07 06:00:02,Clinic,Do It!,2008
Rock,7.7,2008-04-07 06:00:02,Clinic,Do It!,2008
Electronic,7.0,2006-10-19 06:00:01,Clinic,Visitations,2006
Experimental,7.0,2006-10-19 06:00:01,Clinic,Visitations,2006
Rock,7.0,2006-10-19 06:00:01,Clinic,Visitations,2006
Electronic,6.9,2019-05-13 05:00:00,Clinic,Wheeltappers and Shunters,2019
Experimental,6.9,2019-05-13 05:00:00,Clinic,Wheeltappers and Shunters,2019
Rock,6.9,2019-05-13 05:00:00,Clinic,Wheeltappers and Shunters,2019
Electronic,6.7,2010-10-01 06:00:01,Clinic,Bubblegum,2010
Experimental,6.7,2010-10-01 06:00:01,Clinic,Bubblegum,2010
Rock,6.7,2010-10-01 06:00:01,Clinic,Bubblegum,2010
Electronic,7.1,2012-11-07 06:00:00,Clinic,Free Reign,2012
Experimental,7.1,2012-11-07 06:00:00,Clinic,Free Reign,2012
Rock,7.1,2012-11-07 06:00:00,Clinic,Free Reign,2012
Electronic,7.7,2016-05-28 05:00:00,Classixx,Faraway Reach,2016
Electronic,7.8,2013-05-31 06:00:02,Classixx,Hanging Gardens,2013
Rock,7.6,2004-06-10 05:00:03,John Wilkes Booze,Five Pillars of Soul,2004
Rock,6.8,2005-09-22 05:00:04,John Wilkes Booze,Telescopic Eyes Glance the Future Sick,2005
Rap,7.6,2019-03-06 06:00:00,2 Chainz,Rap or Go to the League,2019
Rap,6.6,2015-08-19 06:00:01,2 Chainz,Trap-A-Velli Tre,2015
Rap,7.5,2018-02-14 06:00:00,2 Chainz,The Play Don’t Care Who Makes It EP,2018
Rap,6.8,2016-03-09 06:00:01,2 Chainz,Collegrove,2016
Rap,6.8,2016-03-09 06:00:01,Lil Wayne,Collegrove,2016
Rap,7.7,2016-08-13 05:00:00,2 Chainz,Daniel Son ; Necklace Don,2016
Rap,6.2,2013-09-18 06:00:01,2 Chainz,B.O.A.T.S II: Me Time,2013
Rap,7.2,2014-05-16 06:00:02,2 Chainz,FreeBase EP,2014
Rap,8.0,2017-06-16 05:00:00,2 Chainz,Pretty Girls Like Trap Music,2017
Rap,7.2,2016-02-03 06:00:02,2 Chainz,Felt Like Cappin,2016
Rap,4.5,2012-08-28 06:00:03,2 Chainz,Based on a T.R.U. Story,2012
Rock,7.6,2009-05-07 06:00:02,The Horrors,Primary Colours,2009
Rock,6.7,2014-05-06 06:00:01,The Horrors,Luminous,2014
Rock,6.6,2006-10-31 06:00:04,The Horrors,We Are the Horrors EP,2006
Rock,7.1,2017-09-27 05:00:00,The Horrors,V,2017
Rock,7.5,2011-07-25 06:00:00,The Horrors,Skying,2011
Rock,8.4,2014-10-10 06:00:00,Ex Hex,Rips,2014
Rock,7.8,2019-03-29 05:00:00,Ex Hex,It’s Real,2019
Electronic,6.8,2010-02-23 06:00:02,Martyn,Fabric 50,2010
Electronic,7.5,2009-04-14 05:00:01,Martyn,Great Lengths,2009
Electronic,7.2,2011-10-07 06:00:04,Martyn,Ghost People,2011
Electronic,6.6,2014-06-16 06:00:03,Martyn,The Air Between Words,2014
Rock,6.5,2005-08-29 06:00:01,Death Cab for Cutie,Plans,2005
Rock,6.0,2008-05-12 06:00:01,Death Cab for Cutie,Narrow Stairs,2008
Rock,7.1,2001-11-14 06:00:01,Death Cab for Cutie,The Photo Album,2001
Rock,6.5,2005-04-05 05:00:04,Death Cab for Cutie,The John Byrd EP,2005
Rock,6.9,2002-02-27 06:00:00,Death Cab for Cutie,The Stability EP,2002
Rock,6.4,2002-11-24 06:00:00,Death Cab for Cutie,You Can Play These Songs with Chords,2002
Rock,6.4,2003-10-07 05:00:01,Death Cab for Cutie,Transatlanticism,2003
Rock,5.5,2015-04-02 06:00:01,Death Cab for Cutie,Kintsugi,2015
Rock,7.5,2000-03-31 06:00:01,Death Cab for Cutie,We Have the Facts and We're Voting Yes,2000
Rock,5.9,2019-09-11 05:00:00,Death Cab for Cutie,The Blue EP,2019
Rock,5.0,2011-06-01 06:00:00,Death Cab for Cutie,Codes and Keys,2011
Rock,6.0,2018-08-20 05:00:00,Death Cab for Cutie,Thank You For Today,2018
Rock,7.5,2000-10-31 06:00:05,Death Cab for Cutie,Forbidden Love EP,2000
Rap,7.7,2020-05-21 05:00:00,Polo G,The Goat,2020
Rap,8.3,2019-06-12 05:00:00,Polo G,Die a Legend,2019
